fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type,quality
7.2,0.184,0.404,1.18,0.044,38.0,93.0,0.99186,3.15,0.47,10.43,white,5
6.4,0.352,0.292,6.31,0.036,25.5,99.0,0.99014,3.01,0.28,12.9,white,8
7.6,0.462,0.279,1.78,0.07,11.5,35.5,0.99706,3.36,0.64,9.36,red,5
6.6,0.238,0.268,5.24,0.05,41.0,173.0,0.99539,3.28,0.74,9.5,white,5
8.0,0.292,0.407,1.4,0.033,9.0,88.0,0.99263,3.08,0.37,10.45,white,4
9.8,0.416,0.384,2.5,0.08,31.5,65.5,0.99728,3.15,0.58,9.8,red,5
5.4,0.291,0.297,1.71,0.021,46.0,138.5,0.98841,3.38,0.62,13.46,white,8
8.8,0.388,0.435,2.09,0.071,6.0,14.0,0.99548,3.3,0.75,11.7,red,8
6.1,0.194,0.268,1.24,0.039,27.5,93.5,0.98993,3.34,0.44,12.28,white,6
6.8,0.149,0.47,4.99,0.037,54.0,125.5,0.99219,2.96,0.52,10.78,white,7
5.9,0.184,0.32,10.78,0.03,15.5,91.5,0.99372,3.2,0.46,11.22,white,8
6.7,0.312,0.74,3.64,0.042,31.5,152.0,0.99392,3.19,0.48,9.98,white,5
7.9,0.148,0.327,7.6,0.058,43.0,136.5,0.99605,3.22,0.39,9.68,white,5
6.4,0.275,0.181,7.7,0.048,39.5,141.0,0.99546,3.22,0.51,9.4,white,5
6.8,0.266,0.122,1.28,0.04,86.0,169.0,0.992,3.17,0.41,9.96,white,5
6.6,0.402,0.432,5.87,0.024,40.5,130.0,0.99033,3.08,0.32,12.72,white,8
8.0,0.255,0.399,1.43,0.044,32.5,109.5,0.99203,3.17,0.51,11.45,white,7
7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,3.15,0.57,9.4,red,5
8.5,0.859,0.023,2.05,0.083,9.5,23.0,0.99705,3.34,0.45,9.6,red,4
6.3,0.325,0.165,4.05,0.053,16.5,113.5,0.99448,3.16,0.35,8.91,white,4
7.4,0.35,0.218,2.95,0.047,10.0,107.0,0.99411,3.15,0.4,9.39,white,5
9.0,0.723,0.302,3.68,0.15,4.0,15.5,0.99884,3.26,0.58,9.17,red,3
6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,white,5
6.4,0.322,0.14,7.8,0.042,35.0,138.5,0.99569,3.23,0.5,9.48,white,5
6.8,0.18,0.46,1.4,0.064,37.0,160.0,0.9924,3.37,0.45,11.1,white,5
7.4,0.434,0.249,2.06,0.058,20.5,33.5,0.99456,3.29,0.76,11.69,red,8
6.1,0.356,0.348,2.3,0.041,19.5,77.5,0.99236,3.28,0.45,10.49,white,5
6.8,0.339,0.44,6.56,0.055,30.5,160.5,0.9952,3.11,0.44,9.53,white,5
7.7,0.915,0.12,2.2,0.143,7.0,23.0,0.9964,3.35,0.65,10.2,red,7
6.8,0.198,0.361,5.81,0.05,45.0,137.0,0.99273,3.13,0.43,11.0,white,7
6.9,0.402,0.366,8.96,0.052,35.0,148.5,0.99611,3.17,0.5,9.29,white,5
10.5,0.25,0.47,1.98,0.072,6.0,24.0,0.99772,3.16,0.97,10.96,red,7
6.3,0.39,0.419,6.0,0.04,10.5,131.5,0.99534,3.22,0.53,9.4,white,4
8.4,0.474,0.484,1.85,0.203,12.5,55.5,0.99744,3.23,1.04,9.36,red,5
6.7,0.485,0.088,1.92,0.067,17.5,38.0,0.99551,3.34,0.68,9.65,red,5
7.1,0.28,0.32,1.82,0.044,13.0,124.5,0.99177,3.2,0.49,11.12,white,5
7.7,0.184,0.557,16.06,0.053,62.5,204.0,0.9996,3.09,0.5,9.2,white,7
7.0,0.322,0.708,6.56,0.045,23.5,130.5,0.99515,3.2,0.48,10.36,white,5
8.4,0.23,0.49,7.8,0.035,22.0,95.0,0.9935,3.04,0.34,12.0,white,6
6.7,0.246,0.371,1.86,0.048,36.0,110.5,0.99284,3.41,0.55,10.59,white,8
5.6,0.915,0.0,2.1,0.041,17.0,78.0,0.99346,3.68,0.73,11.4,red,5
7.1,0.614,0.106,2.35,0.093,19.0,34.0,0.99667,3.54,0.7,10.96,red,7
7.7,0.3,0.26,18.95,0.053,36.0,174.0,0.99976,3.2,0.5,10.4,white,5
5.8,0.251,0.377,6.32,0.032,36.0,107.0,0.99143,3.26,0.44,12.26,white,7
10.8,0.399,0.411,2.17,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,red,6
6.2,0.181,0.274,1.5,0.054,45.5,137.0,0.99252,3.21,0.43,10.17,white,6
11.3,0.517,0.663,2.95,0.076,9.0,34.5,0.99869,3.17,0.65,11.1,red,6
6.5,0.333,0.46,2.74,0.036,6.5,49.0,0.98992,3.15,0.43,12.29,white,4
6.4,0.266,0.27,5.55,0.04,27.5,122.5,0.99054,3.24,0.49,12.45,white,7
7.5,0.14,0.324,1.73,0.045,26.5,99.0,0.99171,3.16,0.82,11.4,white,7
7.4,0.587,0.017,2.5,0.073,10.0,38.5,0.99483,3.35,0.58,11.12,red,6
5.8,0.311,0.214,2.49,0.027,15.0,126.0,0.98937,3.4,0.79,13.95,white,7
7.3,0.2,0.287,1.46,0.039,38.0,120.0,0.99242,3.35,0.41,10.57,white,6
6.7,0.158,0.29,11.19,0.039,43.5,108.0,0.99548,3.23,0.4,10.17,white,8
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,red,4
6.7,0.62,0.24,1.1,0.039,6.0,62.0,0.9934,3.41,0.32,10.4,white,5
7.8,0.241,0.562,16.9,0.047,58.5,207.0,0.99988,3.04,0.5,9.39,white,6
10.4,0.242,0.308,13.24,0.051,26.0,154.0,0.99898,2.97,0.53,9.74,white,3
6.0,0.196,0.369,1.33,0.031,11.5,69.0,0.9917,3.38,0.7,10.66,white,7
6.5,0.328,0.24,14.4,0.048,20.0,96.5,0.99455,3.06,0.3,11.5,white,8
6.7,0.32,0.43,11.91,0.039,58.0,227.5,0.99716,3.22,0.56,9.36,white,5
6.8,0.181,0.3,12.8,0.062,19.0,171.0,0.99808,3.0,0.52,9.0,white,7
10.1,0.416,0.61,6.64,0.088,18.5,41.5,0.99876,3.23,0.83,11.81,red,7
6.9,0.349,0.335,8.77,0.044,36.0,125.5,0.99268,3.05,0.32,11.88,white,8
7.6,0.592,0.248,2.18,0.08,19.5,92.0,0.99645,3.26,0.57,9.68,red,6
6.8,0.206,0.412,7.92,0.051,42.0,166.5,0.99555,3.29,0.53,9.89,white,6
6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64,10.1,red,6
6.6,0.209,0.315,1.19,0.04,26.5,89.0,0.99269,3.4,0.53,10.17,white,7
6.8,0.179,0.343,8.81,0.038,50.5,146.0,0.99567,3.21,0.45,9.4,white,6
6.5,0.238,0.5,12.21,0.046,46.0,167.5,0.99727,3.13,0.44,9.01,white,5
6.9,0.325,0.621,1.29,0.167,35.0,118.0,0.99362,3.03,0.47,9.11,white,6
6.8,0.29,0.22,3.4,0.035,40.0,122.0,0.99024,3.09,0.47,12.3,white,6
6.9,0.401,0.365,8.95,0.052,34.5,148.0,0.99614,3.17,0.5,9.26,white,5
6.5,0.259,0.314,1.24,0.033,39.5,113.0,0.99123,3.31,0.59,10.89,white,7
7.2,0.367,0.305,2.09,0.018,15.5,125.5,0.99047,3.06,0.64,12.25,white,4
7.0,0.199,0.35,12.55,0.055,64.0,169.5,0.99919,3.47,0.39,9.48,white,6
5.1,0.524,0.147,2.03,0.042,15.5,98.0,0.99245,3.48,0.88,12.9,red,7
6.3,0.33,0.418,17.17,0.037,57.0,170.5,0.99879,3.26,0.57,9.41,white,6
5.7,0.218,0.273,10.02,0.029,26.0,128.5,0.99289,3.28,0.39,11.35,white,6
8.5,0.545,0.375,1.41,0.053,22.5,131.0,0.99509,3.16,0.45,9.28,white,3
6.3,0.33,0.285,13.11,0.04,18.0,129.0,0.99572,3.18,0.45,10.52,white,6
7.5,0.247,0.309,15.0,0.052,37.5,192.0,0.99835,3.06,0.49,9.41,white,7
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,red,5
7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,red,3
6.8,0.255,0.26,6.94,0.043,57.0,203.0,0.99549,3.14,0.66,9.46,white,4
6.6,0.293,0.33,5.33,0.035,34.5,102.0,0.99077,3.15,0.6,12.56,white,8
8.1,0.317,0.441,2.34,0.199,6.0,17.0,0.99388,3.16,0.79,12.41,red,7
7.8,0.353,0.41,3.03,0.077,15.5,33.0,0.99634,3.32,0.81,12.36,red,8
6.6,0.325,0.409,7.17,0.051,33.0,176.0,0.99535,3.12,0.4,9.25,white,5
6.9,0.19,0.49,6.6,0.036,49.0,172.0,0.9932,3.2,0.27,11.5,white,6
6.6,0.289,0.405,7.26,0.046,60.5,190.5,0.99544,3.14,0.48,9.44,white,5
6.5,0.511,0.164,2.2,0.075,23.5,33.5,0.99527,3.41,0.78,11.07,red,6
7.3,0.332,0.296,1.43,0.056,25.5,170.5,0.99466,3.24,0.51,9.11,white,6
6.9,0.26,0.27,4.2,0.031,20.0,80.0,0.99089,3.12,0.39,11.5,white,6
5.9,0.323,0.305,2.0,0.03,38.0,141.5,0.98891,3.4,0.41,12.9,white,7
11.8,0.471,0.42,3.86,0.08,20.5,38.5,0.998,3.13,0.55,9.71,red,4
6.7,0.859,0.05,2.17,0.085,18.0,44.0,0.99608,3.58,0.69,11.42,red,6
6.3,0.665,0.108,3.28,0.041,15.5,56.5,0.99161,3.13,0.35,11.05,white,4
7.8,0.652,0.214,1.8,0.056,20.5,145.0,0.99499,3.21,0.61,10.33,white,4
9.6,0.424,0.447,2.51,0.066,9.5,27.5,0.99817,3.27,0.68,10.61,red,6
7.0,0.304,0.165,8.17,0.044,46.0,180.0,0.99615,3.14,0.47,9.0,white,5
6.4,0.28,0.27,11.0,0.042,45.0,148.0,0.99786,3.14,0.46,8.7,white,5
8.7,0.357,0.348,1.44,0.046,10.0,129.5,0.99546,3.16,0.47,9.45,white,4
6.1,0.645,0.068,2.49,0.077,13.0,23.0,0.99469,3.56,0.62,12.22,red,5
6.6,0.192,0.274,10.6,0.039,29.0,124.5,0.99486,3.11,0.44,10.65,white,7
7.2,0.155,0.276,15.06,0.051,27.5,143.0,0.99813,2.93,0.41,8.87,white,7
6.9,0.589,0.036,4.46,0.072,10.0,16.5,0.99568,3.41,0.57,11.08,red,7
7.9,0.306,0.405,2.73,0.035,22.0,115.5,0.99182,3.19,0.34,11.97,white,3
6.7,0.255,0.223,3.27,0.088,19.5,128.0,0.9936,3.06,0.47,9.82,white,5
6.2,0.35,0.29,3.9,0.041,22.0,79.0,0.99005,3.1,0.59,12.0666666666667,white,6
7.6,0.285,0.321,14.6,0.063,32.0,201.0,0.998,3.0,0.45,9.19,white,5
6.5,0.345,0.28,3.51,0.042,29.0,111.0,0.99072,3.25,0.63,12.46,white,8
6.2,0.48,0.392,2.62,0.051,34.0,167.5,0.99376,3.16,0.45,8.93,white,5
5.7,0.411,0.359,3.04,0.02,33.5,100.5,0.98939,3.2,0.36,12.7,white,7
9.3,0.387,0.328,5.62,0.049,86.5,197.5,0.99513,3.04,0.38,9.96,white,3
6.8,0.16,0.3,12.99,0.038,20.5,154.5,0.99703,2.89,0.39,9.05,white,6
7.9,0.189,0.307,1.94,0.051,47.5,155.0,0.99493,3.28,0.75,9.57,white,6
7.2,0.233,0.359,1.79,0.04,48.5,155.5,0.99106,3.24,0.4,11.98,white,8
6.9,0.373,0.29,1.39,0.053,24.0,180.0,0.99384,3.31,0.55,10.06,white,4
15.6,0.644,0.49,4.19,0.095,10.0,23.5,1.00316,2.92,0.74,11.1,red,5
8.9,0.278,0.44,9.99,0.033,30.5,123.5,0.99633,3.21,0.45,10.61,white,9
8.4,0.3,0.416,8.53,0.029,37.5,122.5,0.99468,3.23,0.43,11.14,white,9
7.0,0.341,0.311,9.86,0.044,37.0,130.5,0.99353,3.12,0.33,11.63,white,8
5.6,0.308,0.223,2.67,0.027,24.5,83.5,0.99019,3.34,0.38,11.85,white,8
8.8,0.186,0.33,2.67,0.058,12.5,45.5,0.9936,3.14,0.39,10.07,white,6
6.3,0.32,0.17,17.75,0.06,51.0,190.0,0.99916,3.13,0.48,8.8,white,6
7.5,0.27,0.34,2.3,0.05,4.0,8.0,0.9951,3.4,0.64,11.0,red,7
6.5,0.157,0.433,12.96,0.049,61.0,152.0,0.99687,3.26,0.7,10.3,white,7
5.5,0.234,0.329,1.13,0.032,45.5,119.0,0.98993,3.33,0.44,11.49,white,7
6.4,0.196,0.349,1.32,0.043,40.0,108.5,0.99096,3.32,0.37,11.15,white,6
9.9,0.49,0.23,2.4,0.087,19.0,115.0,0.9948,2.77,0.44,9.4,white,6
6.9,0.36,0.337,4.01,0.018,55.0,116.5,0.98978,3.29,0.38,12.68,white,9
7.0,0.248,0.351,5.92,0.029,31.5,109.5,0.99111,3.05,0.35,12.39,white,8
7.7,0.261,0.321,13.35,0.058,37.0,167.0,0.99822,3.0,0.5,8.98,white,5
8.1,0.244,0.398,8.71,0.042,43.0,158.0,0.99396,3.11,0.35,11.79,white,7
6.5,0.3,0.29,2.25,0.037,8.0,210.0,0.9937,3.19,0.62,9.9,white,5
6.3,0.326,0.207,3.06,0.11,15.5,112.0,0.99298,3.03,0.4,9.63,white,4
6.2,0.237,0.32,2.63,0.036,29.0,108.0,0.99153,3.38,0.68,11.12,white,7
8.7,0.574,0.526,1.97,0.348,25.0,74.0,0.99642,3.05,1.53,9.44,red,6
7.1,0.209,0.325,1.43,0.048,42.0,132.5,0.99398,3.37,0.58,10.27,white,7
5.9,0.214,0.318,2.74,0.03,26.0,78.0,0.99003,3.25,0.72,12.3,white,8
7.1,0.383,0.524,1.41,0.154,32.5,130.0,0.9941,3.11,0.54,9.24,white,6
7.0,0.34,0.3,1.8,0.045,44.0,142.0,0.9914,2.99,0.45,10.8,white,6
6.8,0.402,0.252,15.26,0.033,33.0,145.0,0.9948,3.15,0.48,12.41,white,7
10.8,0.345,0.638,2.86,0.086,7.0,24.0,0.99974,3.24,0.71,11.09,red,7
10.4,0.737,0.432,2.61,0.078,8.5,34.5,1.00013,3.33,0.54,9.71,red,3
9.3,0.358,0.473,7.79,0.092,4.0,12.5,0.99892,3.19,0.66,10.95,red,6
6.1,0.494,0.054,3.5,0.062,8.5,25.0,0.99578,3.53,0.7,11.63,red,6
7.6,0.54,0.23,2.0,0.029,13.0,151.0,0.9931,3.04,0.33,10.4,white,5
9.2,0.34,0.54,17.3,0.06,46.0,235.0,1.00182,3.08,0.61,8.8,white,6
6.4,0.549,0.018,1.46,0.057,10.5,18.5,0.99482,3.39,0.52,9.5,red,5
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,white,5
11.5,0.449,0.635,4.11,0.099,8.0,27.5,0.99995,3.19,0.62,10.83,red,5
10.6,0.341,0.382,2.18,0.075,9.0,21.5,0.99684,3.16,0.66,10.6,red,7
8.0,0.338,0.382,1.8,0.063,7.5,39.5,0.99466,3.28,0.75,10.99,red,6
11.9,0.605,0.49,1.34,0.083,11.0,30.5,0.99799,3.12,0.64,10.32,red,4
6.4,0.31,0.28,2.5,0.039,34.0,137.0,0.98946,3.22,0.38,12.7,white,6
6.1,0.299,0.178,12.33,0.042,42.5,180.5,0.99725,3.3,0.39,9.37,white,5
8.7,0.701,0.228,5.97,0.129,35.5,137.0,1.00074,3.28,1.04,9.28,red,5
8.2,0.304,0.475,3.16,0.136,9.0,21.0,0.99446,3.23,0.7,12.25,red,7
6.2,0.16,0.32,1.1,0.036,74.0,184.0,0.99096,3.22,0.41,11.0,white,6
8.2,0.372,0.304,10.62,0.059,38.5,221.5,0.99808,3.16,0.53,9.68,white,6
7.8,0.28,0.31,2.1,0.046,28.0,208.0,0.99435,3.23,0.64,9.8,white,5
7.4,0.306,0.26,1.92,0.039,27.5,132.5,0.99277,3.28,0.57,10.6,white,6
6.6,0.38,0.268,3.18,0.042,21.5,130.5,0.98978,3.25,0.47,13.0,white,7
6.4,0.27,0.19,1.96,0.084,21.0,192.5,0.99514,3.49,0.63,9.56,white,4
9.3,0.398,0.392,2.55,0.072,10.0,25.5,0.99835,3.34,0.75,10.22,red,6
7.1,0.265,0.468,2.51,0.031,31.0,100.5,0.99044,3.18,0.43,12.25,white,7
7.6,0.2,0.26,4.8,0.033,26.0,76.0,0.99076,2.98,0.49,12.3,white,7
6.6,0.195,0.272,10.72,0.038,29.0,126.5,0.9949,3.11,0.44,10.6,white,7
8.3,0.528,0.374,1.38,0.048,17.5,112.0,0.99443,3.13,0.47,9.56,white,3
10.8,0.529,0.638,4.51,0.084,6.0,18.5,0.99808,3.2,0.76,12.92,red,8
8.2,0.74,0.09,2.0,0.067,5.0,10.0,0.99418,3.28,0.57,11.8,red,6
6.9,0.218,0.306,2.77,0.041,48.5,131.5,0.99126,3.05,0.61,11.06,white,7
7.2,1.018,0.081,2.58,0.074,4.5,11.5,0.99586,3.54,0.62,11.06,red,4
7.3,0.684,0.075,2.8,0.06,7.5,13.5,0.99609,3.39,0.54,10.95,red,4
6.7,0.314,0.293,2.49,0.038,30.0,85.0,0.98881,3.09,0.36,12.75,white,7
8.2,0.776,0.003,2.38,0.077,9.0,20.5,0.99746,3.36,0.51,10.14,red,4
7.6,0.27,0.52,3.2,0.043,28.0,152.0,0.99129,3.02,0.53,11.4,white,6
6.4,0.239,0.347,4.93,0.054,29.5,126.0,0.99322,3.33,0.45,10.85,white,3
6.9,0.396,0.37,9.08,0.054,35.5,146.0,0.99608,3.16,0.49,9.31,white,5
6.8,0.16,0.29,10.4,0.046,59.0,143.0,0.99518,3.2,0.4,10.8,white,6
7.1,0.223,0.373,2.02,0.036,47.5,144.5,0.99098,3.26,0.4,11.83,white,8
6.9,0.692,0.023,2.1,0.071,16.0,39.0,0.997,3.46,0.67,9.56,red,5
6.6,0.295,0.298,15.35,0.04,46.0,186.0,0.99784,3.25,0.52,9.56,white,5
6.4,0.288,0.237,14.32,0.038,21.5,91.0,0.99547,3.09,0.38,10.64,white,6
12.6,0.512,0.546,2.08,0.071,9.0,28.0,0.99946,3.1,0.59,9.43,red,6
7.9,0.483,0.375,2.83,0.077,10.0,22.0,0.99383,3.25,0.76,13.0,red,8
7.3,0.436,0.384,1.62,0.033,5.0,66.5,0.99232,3.14,0.52,10.64,white,3
6.6,0.185,0.29,11.93,0.039,45.5,115.0,0.99539,3.26,0.42,10.45,white,8
8.5,0.267,0.463,7.95,0.034,29.0,120.5,0.99488,3.25,0.45,11.19,white,9
7.6,0.357,0.473,13.88,0.041,40.5,127.5,0.99783,3.04,0.5,9.56,white,5
7.0,0.306,0.344,3.35,0.039,34.0,106.0,0.9911,3.36,0.55,12.69,white,8
6.4,0.324,0.183,3.78,0.059,21.0,101.5,0.99377,3.04,0.4,9.33,white,4
6.8,0.181,0.28,9.9,0.039,29.0,114.0,0.99427,3.11,0.45,10.91,white,7
6.6,0.216,0.257,17.52,0.047,43.0,141.0,1.0001,3.3,0.37,8.77,white,5
9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1,red,6
8.5,0.267,0.461,8.13,0.034,29.0,121.0,0.995,3.25,0.45,11.14,white,9
7.0,0.207,0.299,2.46,0.037,23.5,118.5,0.99388,3.34,0.63,10.17,white,4
7.3,0.285,0.367,4.53,0.027,28.0,102.5,0.99078,3.06,0.33,12.41,white,8
8.0,0.43,0.4,12.4,0.168,29.0,190.0,0.9991,3.07,0.64,9.2,white,5
6.7,0.236,0.258,7.88,0.045,77.5,185.0,0.99514,3.3,0.41,10.27,white,6
7.3,0.19,0.271,13.91,0.057,45.0,155.5,0.99807,2.94,0.41,8.8,white,8
10.5,0.464,0.65,2.68,0.112,9.0,22.0,0.99715,3.17,0.71,11.75,red,7
7.1,0.17,0.31,1.6,0.037,15.0,103.0,0.991,3.14,0.5,12.0,white,6
8.4,0.196,0.393,2.03,0.047,24.0,119.0,0.99388,2.88,0.42,9.64,white,5
7.0,0.39,0.323,2.38,0.034,32.0,131.5,0.98997,3.13,0.37,12.19,white,7
7.3,0.617,0.007,2.06,0.062,7.0,12.5,0.9955,3.45,0.59,11.35,red,6
7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.99388,3.35,0.63,12.0,red,6
7.1,0.679,0.193,7.05,0.05,21.5,63.5,0.99392,3.11,0.29,10.64,white,4
10.5,0.402,0.554,3.15,0.076,21.5,53.0,0.99952,3.15,0.89,9.91,red,6
6.5,0.274,0.399,1.36,0.051,15.5,140.5,0.99492,3.4,0.47,9.91,white,6
6.6,0.197,0.401,12.49,0.039,52.5,137.5,0.99699,3.23,0.64,10.16,white,7
6.5,0.338,0.356,5.81,0.039,10.0,152.5,0.99488,3.19,0.47,9.5,white,4
6.6,0.295,0.297,5.37,0.05,10.0,143.5,0.9958,3.24,0.37,8.73,white,4
7.7,0.719,0.145,1.86,0.111,5.5,13.0,0.99691,3.44,0.63,9.53,red,3
6.0,0.27,0.278,12.25,0.045,56.5,181.0,0.99746,3.22,0.41,9.09,white,6
7.6,0.307,0.538,16.63,0.055,52.5,236.0,1.00139,2.97,0.57,8.79,white,6
7.1,0.223,0.237,2.09,0.039,17.0,90.5,0.99402,3.36,0.57,10.16,white,4
7.0,0.166,0.341,10.63,0.043,22.0,95.5,0.99561,3.15,0.44,10.9,white,7
6.9,0.205,0.281,10.46,0.039,31.0,116.0,0.99398,3.07,0.51,11.27,white,7
7.3,0.189,0.271,13.93,0.057,45.0,154.5,0.99808,2.94,0.41,8.8,white,8
5.6,0.363,0.205,1.59,0.039,25.5,90.0,0.99242,3.52,0.41,10.21,white,7
6.4,0.236,0.318,1.57,0.037,40.0,117.0,0.99087,3.32,0.55,11.45,white,7
5.7,0.26,0.296,1.48,0.04,32.0,103.5,0.99015,3.43,0.5,12.06,white,7
7.2,0.274,0.184,8.1,0.043,45.5,176.5,0.99643,3.16,0.47,9.13,white,5
6.5,0.255,0.233,10.89,0.042,46.5,130.5,0.996,3.06,0.42,10.04,white,6
11.5,0.539,0.705,4.34,0.124,6.0,15.0,0.99832,3.01,0.82,11.77,red,7
6.9,0.157,0.31,2.14,0.034,14.0,77.0,0.99125,3.1,0.6,11.25,white,7
6.0,0.499,0.031,2.03,0.084,13.5,26.0,0.99604,3.44,0.47,9.89,red,5
8.7,0.287,0.429,9.38,0.032,33.5,123.0,0.99563,3.21,0.44,10.84,white,9
6.4,0.14,0.279,7.9,0.057,21.0,82.0,0.99425,3.26,0.36,10.0,white,6
8.5,0.26,0.375,2.24,0.058,8.5,31.5,0.995,3.35,0.69,11.53,red,5
8.1,0.409,0.309,6.45,0.031,26.0,111.5,0.99151,3.03,0.41,13.12,white,7
8.4,0.21,0.49,3.98,0.043,26.0,112.0,0.9939,3.13,0.46,10.1,white,6
5.4,0.396,0.255,1.55,0.031,18.5,84.0,0.98986,3.49,0.4,12.24,white,7
6.6,0.169,0.329,1.48,0.037,46.5,169.0,0.99088,3.34,0.62,11.99,white,8
6.0,0.208,0.301,13.54,0.036,37.5,118.5,0.9949,3.3,0.43,11.18,white,8
6.9,0.309,0.298,9.58,0.042,37.0,129.5,0.99355,3.17,0.33,11.51,white,8
6.6,0.265,0.252,10.94,0.044,44.5,169.0,0.99661,3.33,0.42,9.89,white,6
7.6,0.3,0.38,2.1,0.043,10.0,98.0,0.99296,3.17,0.65,11.0,white,5
7.5,0.283,0.341,4.32,0.029,36.0,116.0,0.99101,2.99,0.4,12.29,white,8
8.9,0.571,0.365,8.43,0.062,34.5,273.0,0.99843,3.14,0.5,9.72,white,3
8.1,0.709,0.204,1.92,0.077,7.0,22.0,0.99738,3.46,0.61,9.67,red,3
6.7,0.259,0.39,7.45,0.029,24.5,100.0,0.99213,3.1,0.58,11.91,white,8
6.9,0.3,0.324,10.69,0.038,19.5,88.5,0.9939,3.22,0.41,11.27,white,3
6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4,9.3,white,7
7.8,0.278,0.41,1.94,0.044,50.0,152.0,0.99342,3.44,0.49,10.64,white,8
7.7,0.243,0.313,10.68,0.037,57.0,187.5,0.99689,3.11,0.56,9.52,white,6
7.2,0.347,0.357,5.16,0.021,52.5,120.0,0.99088,3.27,0.37,12.36,white,9
11.1,0.63,0.583,2.18,0.072,11.0,47.0,1.00033,3.26,0.57,9.08,red,3
7.2,0.405,0.283,2.35,0.032,25.0,76.0,0.98897,2.97,0.34,13.05,white,8
8.5,0.23,0.34,1.3,0.035,54.0,110.0,0.99176,3.07,0.55,11.0,white,7
7.9,0.284,0.373,1.76,0.033,27.0,100.0,0.99208,3.08,0.39,11.19,white,5
9.7,0.489,0.211,2.97,0.086,10.5,36.0,0.99823,3.18,0.65,10.29,red,6
7.8,0.438,0.353,0.86,0.036,4.0,89.5,0.99034,3.0,0.37,11.4,white,4
5.4,0.235,0.146,12.73,0.049,32.0,119.5,0.99591,3.41,0.38,10.64,white,6
7.0,0.622,0.072,1.35,0.063,25.0,144.5,0.99392,3.19,0.44,9.93,white,4
7.4,0.323,0.315,3.84,0.031,33.0,108.5,0.99039,2.98,0.4,12.59,white,8
9.2,0.793,0.165,2.2,0.08,7.0,30.0,0.99855,3.3,0.61,10.49,red,6
6.7,0.25,0.33,2.9,0.057,52.0,173.0,0.9934,3.02,0.48,9.5,white,7
7.6,0.235,0.286,13.69,0.051,78.5,185.5,0.99778,3.15,0.47,9.74,white,6
7.0,0.217,0.329,1.13,0.041,39.0,102.5,0.99115,3.08,0.71,11.03,white,6
7.0,0.287,0.436,2.03,0.029,29.0,105.5,0.99012,3.38,0.47,12.77,white,9
7.4,0.53,0.163,1.86,0.08,13.0,32.0,0.99637,3.4,0.64,9.77,red,7
6.4,0.3,0.315,2.84,0.035,24.5,111.5,0.99115,3.34,0.4,11.52,white,7
6.8,0.316,0.345,7.09,0.034,37.5,120.0,0.99114,3.0,0.32,12.44,white,8
7.5,0.242,0.376,14.49,0.056,39.5,177.0,0.99939,3.13,0.6,8.87,white,7
6.4,0.39,0.239,5.28,0.034,20.0,86.0,0.98917,3.02,0.29,13.4,white,8
10.2,0.286,0.537,2.09,0.079,31.5,57.5,0.99529,3.03,0.64,11.56,red,8
7.8,0.197,0.334,6.06,0.032,12.5,95.5,0.99412,3.08,0.41,10.47,white,8
6.7,0.329,0.26,4.02,0.034,27.0,99.5,0.99029,3.09,0.43,12.36,white,7
7.1,0.242,0.358,2.87,0.049,14.5,95.0,0.99319,3.45,0.85,11.21,white,5
6.8,0.331,0.74,2.48,0.042,24.0,141.5,0.99293,3.16,0.52,10.09,white,5
6.3,0.318,0.186,4.31,0.089,24.0,192.5,0.99626,3.51,0.66,9.42,white,4
7.2,0.234,0.349,1.64,0.039,46.0,148.5,0.99128,3.22,0.41,11.81,white,8
6.7,0.833,0.017,2.37,0.088,11.0,22.5,0.99626,3.52,0.56,10.74,red,6
7.2,0.168,0.392,12.97,0.039,67.0,168.5,0.99735,3.21,0.78,10.29,white,6
7.0,0.312,0.34,6.35,0.033,38.0,121.5,0.99115,2.99,0.35,12.36,white,8
7.2,0.171,0.28,17.56,0.05,33.0,154.0,0.99971,2.94,0.43,9.01,white,7
5.9,0.564,0.0,1.34,0.049,19.0,86.5,0.99378,3.41,0.39,9.49,white,4
9.8,0.25,0.74,10.0,0.056,36.0,225.0,0.9977,3.06,0.43,10.0,white,4
6.5,0.223,0.275,4.83,0.043,102.5,202.5,0.99353,3.06,0.42,9.74,white,4
7.5,0.23,0.683,12.2,0.042,56.5,160.0,0.99821,3.05,0.42,8.67,white,5
